id	seg	age	sex	occupation	province	district	tags	summary
A0001	A	33	여자	경리 사무원	인천	인천-연수구	#고디지털 #직장인	황혜란 씨는 인천 연수구의 가구 제조 기업 경리로 근무하며, 성실한 실무 능력과 정갈한 취향으로 안정적인 일상을 가꾸어 나가는…
A0002	A	31	남자	강구조물 가공원	경상북	경상북-영주시	#직장인	김준수 씨는 경북 영주에서 정밀한 철강 가공 일을 하며 성시경의 노래와 홈메이드 파스타, 그리고 가족과의 맛집 탐방으로 소박하…
A0003	A	27	남자	무직	경기	경기-파주시	#비경제활동 #테크회의론	이태훈 씨는 파주에서 3세대가 함께 사는 집의 막내로, 정해진 규칙이 있는 안정적인 삶을 갈망하며 e스포츠 분석과 피부 관리에…
A0004	A	26	남자	무직	서울	서울-마포구	#비경제활동	박현식 씨는 마포구에 거주하는 26세 무직자로, 보수적인 가족 환경 속에서 자신만의 디지털 취향과 실용적인 가치관을 지키며 안…
A0005	A	22	남자	무직	서울	서울-송파구	#고디지털 #비경제활동	김재성 씨는 실용적인 영상 편집 기술을 가진 송파구 거주 취준생으로, LCK 시청과 맛집 탐방을 즐기지만 건강 관리가 시급한 …
A0006	A	38	여자	그 외 화학제품 생산기 조작원	울산	울산-동구	#직장인 #테크회의론	김수진 씨는 울산의 의약품 공장에서 원칙을 준수하며 성실하게 근무하고, 정적인 휴식과 소소한 혼자만의 시간을 소중히 여기는 3…
A0007	A	23	남자	무직	경기	경기-부천시 소사구	#비경제활동	최도성 씨는 부천에 거주하며 실무 기술을 통한 자립을 꿈꾸는, 꼼꼼한 성격의 23세 식도락가입니다.
A0008	A	22	남자	전직 양식 조리사, 현재 구직중	서울	서울-송파구	#비경제활동	김찬민 씨는 정교한 양식 조리 기술을 가진 22세 구직자로, 송파구에서 홀로 지내며 정적인 휴식과 요리에 대한 자신만의 기준을…
A0009	A	38	여자	무직	경기	경기-안양시 만안구	#가격깐깐 #고디지털 #비경제활동	원상희 씨는 꼼꼼한 업무 처리 능력과 강한 독립심을 가졌으며, 현재는 소박한 취미 생활과 외식을 즐기며 재취업을 준비하는 30…
A0010	A	33	남자	일반 경찰관 및 수사관	세종	세종-세종시	#직장인	최동현 씨는 공학적 식견을 갖춘 세종시의 경찰관으로, 안정적인 주거 기반 위에서 전자기기와 카페 탐방이라는 소소한 취미를 통해…
A0011	A	35	여자	해외 영업원	부산	부산-기장군	#직장인	김은정 씨는 인문학적 소양을 해외 영업에 접목한 전문성과 미식에 대한 집착, 그리고 홀로 지내는 고요한 삶이 공존하는 30대 …
A0012	A	24	남자	무직	대전	대전-유성구	#비경제활동	정재윤 씨는 정밀한 설계 능력을 갖췄지만 취업 준비의 불안함과 건강 관리라는 숙제를 안고 살아가는 대전 유성구의 24세 공학도…
A0013	A	21	여자	전직 일반 비서, 현재 구직중	서울	서울-동대문구	#비경제활동	최수민 씨는 동대문구에 거주하며 정교한 업무 능력과 느긋한 생활 태도가 공존하는, 예술적 감수성을 지닌 21세 구직자입니다.
A0014	A	24	남자	치과위생사	경기	경기-부천시 오정구	#직장인	길태환 씨는 부천에서 근무하는 유능한 치과위생사로, 맛집 탐방과 게임을 즐기며 독립을 꿈꾸는 현실적인 20대 청년입니다.
A0015	A	33	여자	육군 부사관	대전	대전-유성구	#직장인	김소희 씨는 유성구의 자가 아파트에서 친구들과 거주하며, 군의 절도 있는 책임감과 30대의 트렌디한 여유 사이에서 균형을 잡고…
A0016	A	24	남자	상·하수 배관공	서울	서울-중랑구	#직장인	조세현 씨는 공학적 지식과 현장의 거친 실무를 결합해 누수 지점을 정확히 짚어내는, 자유로운 영혼의 20대 배관 전문가입니다.
A0017	A	20	남자	전기 관련 관리자	충청남	충청남-천안시 동남구	#직장인	김정록 씨는 전기 관리자로서의 냉철한 전문성과 소품 수집가의 예술적 감성을 동시에 지닌, 건강 관리가 시급한 20세 청년입니다…
A0018	A	33	여자	음식 서비스 종사원	제주	제주-제주시	#직장인	이다연 씨는 제주시에서 식당 일을 하며 당뇨 관리와 평온한 일상 사이의 균형을 찾아가려 노력하는 33세 여성입니다.
A0019	A	20	남자	경영 기획 사무원	경기	경기-의정부시	#고디지털 #직장인	유주현 씨는 의정부 인쇄소에서 근무하는 20세 사무원으로, 실용적인 삶의 태도와 Z세대 특유의 디지털 소통 방식을 가진 성실하…
A0020	A	28	여자	철도운송 관련 종사원	전북	전북-전주시 완산구	#직장인	최은재 씨는 전주에서 철도 운송 실무자로 일하며 꼼꼼한 성격과 디저트 취향, 건강 관리에 대한 고민을 동시에 가진 20대 후반…
A0021	A	22	여자	마케팅 전문가	경기	경기-군포시	#고디지털 #직장인	이지현 씨는 교육 마케팅 분야에서 탁월한 성과를 내며 고소득을 올리는 22세 사회초년생으로, 화려한 사회적 모습 뒤에 예민함과…
A0022	A	32	남자	경영 기획 사무원	광주	광주-광산구	#고디지털 #직장인 #테크회의론	조동준 씨는 광주 금속가공업계의 효율적인 기획자이자, 가족과 동료 사이의 조화를 중시하며 시티팝과 휴양지에서의 쉼을 통해 내면…
A0023	A	23	남자	하역 및 적재 관련 단순 종사원	서울	서울-강서구	#직장인	김지민 씨는 강서구 물류 현장에서 성실하게 일하며 부모님과 함께 안정을 꿈꾸는, 배려심 깊고 소박한 23세 청년입니다.
A0024	A	33	남자	산업 안전원	서울	서울-강남구	#약관정독 #직장인	라지훈 씨는 높은 학력과 전문성을 갖췄음에도 불구하고 불안정한 수입과 계약직이라는 현실의 벽 앞에서 고군분투하는 30대 산업 …
A0025	A	20	여자	일반 간호사	경기	경기-안산시 상록구	#직장인	김고원 씨는 안산에서 어머니와 함께 살며 환자들에게 다정한 미소를 건네는 신입 간호사이자, 소금빵과 산책을 사랑하는 20대 청…
A0026	A	32	남자	철도운송 관련 종사원	서울	서울-노원구	#직장인	최형록 씨는 노원구에 거주하며 철도 운송 분야에서 성실하게 근무하는 32세 남성으로, 유연한 성격과 가족 중심적인 가치관을 가…
A0027	A	33	남자	그 외 법률 관련 사무원	대구	대구-남구	#고디지털 #직장인	이정기 씨는 기술적 전문성을 갖춘 법률 사무원으로, 대구 남구에서 자가를 보유한 채 건강 관리와 개인적 고독 사이에서 균형을 …
A0028	A	28	여자	국가행정 사무원	경기	경기-안양시 만안구	#고디지털 #직장인 #테크회의론	박정아 씨는 공학적 논리로 행정 업무를 효율화하는 공무원이자, 안양천의 활기와 내 방의 아늑함 사이에서 균형을 잡으며 나만의 …
A0029	A	29	남자	전자계측 제어 기술자 및 연구원	경기	경기-화성시	#직장인	최성윤 씨는 인문학적 감성과 정밀 기술력을 동시에 갖춘 화성시의 20대 연구원으로, 대가족의 온기와 예술적 취향 속에서 살아가…
A0030	A	25	남자	영업 관리 사무원	경기	경기-남양주시	#고디지털 #직장인	변예찬 씨는 수학적 논리력과 세심한 감수성을 동시에 지닌 20대 영업 관리자로, 배우자와의 소박한 행복과 전문 MD라는 커리어…
A0031	A	21	남자	통신장비 기사	경기	경기-수원시 장안구	#직장인	조종현 씨는 수원에서 활동하는 실무 중심의 통신장비 기사로, 운동과 게임을 즐기며 현실적인 성장을 꿈꾸는 21세 청년입니다.
A0032	A	20	여자	사무 보조원	부산	부산-금정구	#고디지털 #직장인	최지영 씨는 부산 금정구에서 사무 보조로 일하며 독립을 꿈꾸는 20세 청년으로, 정서적 예민함과 유연한 성격을 동시에 지닌 채…
A0033	A	24	남자	일식 조리사	경기	경기-파주시	#직장인	박혜창 씨는 건강 관리라는 숙제를 안고 있지만, 섬세한 손끝 기술과 뚜렷한 주관으로 자신만의 오마카세 제국을 꿈꾸는 24세의 …
A0034	A	31	여자	텔레마케터	서울	서울-서대문구	#직장인	권윤주 씨는 타인의 감정을 세심하게 보살피는 금융업 종사자이자, 식물과 사진을 통해 고독한 휴식을 즐기며 심리 상담사의 꿈을 …
A0035	A	29	여자	보육 관련 시설 서비스 종사원	충청남	충청남-금산군	#직장인 #테크회의론	이예지 씨는 꼼꼼한 보육 전문가이자 식도락을 즐기는 20대 후반의 여성으로, 철저한 자기관리와 충동적인 생활 습관이 공존하는 …
A0036	A	23	여자	전직 보육교사, 현재 구직중	인천	인천-부평구	#비경제활동 #저디지털	한가은 씨는 부평의 활기찬 시장통 분위기 속에서 자라난 사교적인 전직 보육교사로, 이른 결혼 생활의 안정감과 소소한 취향을 쫓…
A0037	A	37	남자	그 외 정보 통신기기 설치 및 수리원	경상남	경상남-창원시 의창구	#고디지털 #직장인	백현준 씨는 창원에서 네트워크 수리공으로 일하며 가족을 부양하는 성실한 가장이자, 소박한 자연과 소주 한 잔의 여유를 아는 3…
A0038	A	31	여자	환경 검사원	서울	서울-광진구	#직장인	문지안 씨는 서울 광진구에서 부모님과 거주하며 환경 검사원으로 성실하게 근무하는 31세 여성으로, 안정적인 일상과 소소한 취향…
A0039	A	20	여자	치과위생사	서울	서울-노원구	#직장인	박유겸 씨는 노원구에 거주하며 안정적인 직장 생활과 트렌디한 취향 사이에서 균형을 찾는 20대 초반의 치과위생사입니다.
