id	seg	age	sex	occupation	province	district	tags	summary
B0001	B	49	여자	무직	충청남	충청남-천안시 동남구	#비경제활동 #육아	김정하 씨는 천안 동남구에서 가족의 건강과 화목을 챙기며 자연 속의 휴식과 정갈한 외식을 즐기는 실속 있는 49세 주부입니다.
B0002	B	32	남자	중형 화물차 운전원	경기	경기-남양주시	#육아 #직장인	박동식 씨는 성실한 노동의 가치를 믿으며 가족에 대한 책임감과 현실적인 감각으로 삶을 꾸려가는 남양주의 중형 화물차 운전원입니…
B0003	B	49	남자	정보 보안 전문가	서울	서울-양천구	#고디지털 #보안민감 #육아 #직장인	송순근 씨는 서울 양천구에 거주하며 출판 보안 분야의 실무 능력을 갖춘 40대 가장으로, 안정적인 고소득과 가정의 평온함을 유…
B0004	B	32	여자	무직	인천	인천-서구	#가격깐깐 #비경제활동 #육아 #창업준비	박유하 씨는 철저한 자기관리와 인문학적 감성을 일상에 녹여내며, 미래의 디자인 스튜디오 창업을 꿈꾸는 계획적인 전업주부입니다.
B0005	B	45	남자	119 구조대원	제주	제주-제주시	#육아 #직장인	박용호 씨는 제주시에서 가족을 부양하는 든든한 119 구조대원이자, 주짓수와 빵 투어를 즐기며 삶의 균형을 찾는 40대 가장입…
B0006	B	42	남자	사무 보조원	경기	경기-안양시 만안구	#육아 #직장인	김상제 씨는 안양에서 가죽 공장 사무원으로 일하며, 가족에 대한 책임감과 특유의 사교성으로 주변 사람들을 챙기지만 경제적 불안…
B0007	B	35	여자	무직	경상북	경상북-포항시 남구	#가격깐깐 #비경제활동 #육아	신은경 씨는 포항에서 가정을 돌보며 꼼꼼한 살림 솜씨와 내향적인 성격을 가진, 규칙적인 사회 복귀를 꿈꾸는 30대 주부입니다.
B0008	B	46	남자	교육 및 훈련 사무원	강원	강원-정선군	#육아 #직장인	오우주 씨는 정선 지역 농민들의 가려운 곳을 긁어주는 능숙한 행정가이자, 쇼핑과 먹거리를 사랑하는 소탈하고 정 많은 40대 가…
B0009	B	37	여자	승용차 및 승합차 운전원	경기	경기-고양시 일산서구	#고디지털 #육아 #직장인	김민경 씨는 경기 서북권 도로망을 꿰뚫는 베테랑 운전원이자, 식도락과 자기관리 사이에서 삶의 활력을 찾는 일산의 30대 워킹맘…
B0010	B	36	남자	경리 사무원	대전	대전-서구	#고디지털 #육아 #직장인	윤종원 씨는 대전의 기계 공장에서 꼼꼼하게 살림을 책임지는 경리 사무원이자, 가족과 함께하는 맛집 탐방과 김동률의 음악으로 마…
