id	seg	age	sex	occupation	province	district	tags	summary
D0001	D	46	여자	무직	경기	경기-성남시 분당구	#비경제활동	김다희 씨는 분당의 정돈된 일상 속에서 가족의 평온함을 최우선으로 여기며, 언론학 전공자의 분석력과 차분한 성격으로 삶의 균형…
D0002	D	50	여자	그 외 서비스 관련 단순 종사원	부산	부산-기장군	#약관정독 #육아 #직장인 #테크회의론	설숙자 씨는 기장군 부동산에서 근무하며 가족의 안정과 이웃 간의 정을 소중히 여기는, 소박하지만 강단 있는 50대 여성입니다.
D0003	D	44	남자	전화 상담원	강원	강원-원주시	#약관정독 #직장인 #테크회의론	박호철 씨는 원주에서 보험 상담원으로 성실히 근무하며, 내 집 마련의 안정감과 고향 친구들과의 소박한 술자리를 통해 삶의 만족…
D0004	D	50	여자	치과 일반 의사	서울	서울-서초구	#직장인	최연옥 씨는 전문직으로서의 품위와 철저한 자기관리를 유지하면서도, 마음 한구석에는 작은 변화에도 쉽게 흔들리는 섬세한 불안을 …
D0005	D	54	남자	무직	서울	서울-용산구	#가격깐깐 #비경제활동 #육아	김정우 씨는 공학적 재능을 가진 용산구의 가장으로, 비만과 혈당 관리라는 숙제를 안은 채 가족에 대한 책임감과 소소한 일상의 …
D0006	D	54	여자	일반 비서	전북	전북-익산시	#육아 #직장인	유현 씨는 익산에서 성실하게 직장 생활과 가정을 꾸려가며, 꼼꼼한 행정 능력과 따뜻한 이웃 사랑을 실천하는 50대 여성입니다.
D0007	D	53	남자	전자제품 개발 기술자 및 연구원	경기	경기-시흥시	#저디지털 #직장인	조승용 씨는 시흥에서 자가 아파트에 거주하며 자동차 전자제어 분야의 정밀함을 추구하는 연구원이자, 고혈압 관리를 위해 성실하게…
D0008	D	50	남자	전기 용접원	경상남	경상남-양산시	#직장인	김영걸 씨는 양산에서 활동하는 노련한 전기 용접공으로, 고소득과 자가를 보유했으나 건강 관리에는 소홀하며 당구와 풍경 사진으로…
D0009	D	53	여자	그 외 데이터 및 네트워크 관련 전문가	대전	대전-서구	#가격깐깐 #고디지털 #육아 #직장인	김남희 씨는 대전의 정보통신기술 연구 전문가로서 치밀한 직업 정신과 정적인 휴식을 동시에 추구하는, 계획적이고 실용적인 50대…
D0010	D	50	남자	일반 비서	경상남	경상남-거제시	#육아 #직장인 #테크회의론	이현준 씨는 거제도의 조선소 문화 속에서 성실하게 살아온 50대 비서로, 가족과 함께하는 소박한 일상의 평온함을 인생의 가장 …
D0011	D	40	남자	통신장비 기사	경기	경기-성남시 수정구	#직장인	김규태 씨는 성남 수정구에서 통신장비 기사로 일하며, 안정적인 삶과 소소한 휴식, 그리고 낚시와 만화라는 자기만의 도피처를 가…
D0012	D	57	여자	무직	대구	대구-북구	#가격깐깐 #비경제활동 #저디지털	이복례 씨는 대구 북구에서 자녀와 함께 살며 금호강변 산책과 트로트 감상으로 일상의 행복을 찾는, 겉은 무뚝뚝해도 속은 한없이…
D0013	D	52	남자	육군 장교	부산	부산-강서구	#육아 #직장인	주종훈 씨는 부산 강서구에서 정년을 준비하는 육군 장교로, 엄격한 규율과 가족에 대한 애정 사이에서 균형을 잡으며 건강 관리에…
D0014	D	54	여자	미디어 콘텐츠 창작자	경기	경기-성남시 분당구	#육아 #직장인	남삼례 씨는 분당의 정갈한 일상 속에서 글쓰기와 가드닝으로 내면을 가꾸며, 소외된 이들의 기록을 담아낼 독립 출판의 꿈을 키워…
D0015	D	56	남자	냉난방기 관련 설비 조작원	충청남	충청남-서산시	#고디지털 #직장인	장재홍 씨는 서산에서 공조 설비 전문가로 일하며, 철저한 자기관리와 가족에 대한 책임감을 바탕으로 느긋하지만 주관 뚜렷한 삶을…
D0016	D	51	남자	그 외 물품 이동 장비 조작원	대구	대구-달서구	#저디지털 #직장인	박명준 씨는 대구에서 지게차 숙련공으로 일하며 외로움과 고독을 게임과 산책으로 달래는, 무뚝뚝하지만 내면의 유연함을 가진 50…
D0017	D	43	남자	회계사	서울	서울-마포구	#고디지털 #직장인	표병관 씨는 공학적 효율성과 회계적 정밀함을 동시에 갖춘 건설 전문 회계사로, 마포구에서 부모님을 모시며 골프와 만화, 목욕탕…
D0018	D	47	여자	그 외 일반 영업원	대전	대전-동구	#저디지털 #직장인	연승미 씨는 대전 동구에서 자동차 부품 영업원으로 일하며, 고단한 하루를 사우나와 반려견 산책, 라디오 소리로 달래는 강인하고…
D0019	D	54	남자	국어 교사	대구	대구-동구	#직장인	박창용 씨는 수학적 분석력과 문학적 감수성을 동시에 지닌 국어 교사로, 대구의 정취 속에서 어머니와 함께하며 소소한 일상의 기…
D0020	D	52	여자	조사 전문가	서울	서울-양천구	#고디지털 #육아 #직장인	이은미 씨는 양천구 신월동에서 가족과 함께 살며, 섬세한 관찰력과 책임감으로 지역 사회 복지 발전을 꿈꾸는 조사 전문가입니다.
D0021	D	54	남자	위험 관리원	충청북	충청북-청주시 청원구	#저디지털 #직장인 #테크회의론	이진택 씨는 청주에서 위험 관리원으로 근무하며 디지털 전환을 이끄는 전문성과 예술적 감수성을 동시에 지녔지만, 고도비만과 성인…
D0022	D	42	남자	그 외 일반 영업원	대구	대구-동구	#직장인	김성지 씨는 대구 동구의 자가 아파트에서 어머니와 함께 살며 도매 영업직으로 성실하게 삶을 일궈온, 안정과 신뢰를 중시하는 4…
D0023	D	57	남자	일식 조리사	경기	경기-파주시	#직장인	박현도 씨는 파주에서 노부모를 모시며 살아가는 성실한 일식 조리사로, 현장의 기술력을 믿는 실용주의적 태도와 스스로를 가꾸는 …
D0024	D	55	여자	그 외 자동차 운전원	서울	서울-중랑구	#육아 #직장인	박정숙 씨는 서울의 길을 훤히 꿰뚫는 숙련된 운전원이자, 가족을 위해 검소하고 성실하게 살아가는 중랑구의 다정한 이웃입니다.
D0025	D	55	여자	주방 보조원	경상남	경상남-창원시 마산합포구	#직장인 #창업준비	김경아 씨는 마산의 털털한 정서를 가진 주방 보조원으로, 안정적인 직장 생활과 소소한 개인적 취향 사이에서 균형을 잡으며 살아…
D0026	D	59	남자	그 외 철도 및 전동차 기관사	부산	부산-해운대구	#직장인	정대성 씨는 정밀한 열차 운행 능력과 ICT 지식을 갖춘 베테랑 기관사로, 해운대에서 가족의 생계와 노후 준비라는 현실적인 고…
D0027	D	54	남자	전직 전기 용접원, 현재 구직중	전라남	전라남-광양시	#비경제활동 #육아 #테크회의론	서동욱 씨는 광양의 정밀 용접 기술자 출신으로, 가족에 대한 사랑과 지역 사회의 유대를 소중히 여기며 제2의 안정적인 일터를 …
D0028	D	52	남자	사무 보조원	경기	경기-안양시 동안구	#직장인	이병희 씨는 안양의 연구소에서 성실히 근무하며 철학적 사유와 사회적 교류 사이에서 균형을 찾으려 노력하는, 외유내강형의 50대…
D0029	D	42	여자	조사 전문가	경기	경기-부천시 원미구	#고디지털 #직장인	조민경 씨는 보건복지 전공을 살려 리서치 전문가로 성장하며, 독립적인 도시 생활과 가족에 대한 애정 사이에서 균형을 잡고 살아…
D0030	D	52	여자	총무 사무원	경기	경기-안산시 단원구	#육아 #직장인	최연경 씨는 안산에서 3세대 가족을 부양하며 사회복지기관의 행정을 빈틈없이 책임지는, 외유내강형의 성실한 살림꾼입니다.
D0031	D	51	여자	전직 전화 상담원, 현재 구직중	경상남	경상남-밀양시	#비경제활동	서안진 씨는 보험사 상담원 출신의 꼼꼼함과 예민한 촉을 가진 50대 여성으로, 안정적인 재취업과 소소한 취미 생활을 통해 삶의…
D0032	D	59	여자	지게차 운전원	충청남	충청남-천안시 서북구	#저디지털 #직장인	한복경 씨는 천안에서 정교한 지게차 운전 실력으로 인정받는 베테랑이자, 빵과 골프를 사랑하며 성실하게 삶을 일궈온 59세 여성…
D0033	D	56	여자	화장품 판매원	경상남	경상남-김해시	#직장인	최경희 씨는 김해에서 화장품을 판매하며 사람들과 어울리는 것을 좋아하는 사교적인 성격의 소유자로, 식물을 가꾸고 건강을 관리하…
D0034	D	41	남자	택배원	경기	경기-파주시	#직장인	이민영 씨는 파주의 지리를 꿰뚫는 성실한 택배원이자, 가족의 생계를 책임지며 집안 꾸미기와 자연 여행에서 위안을 찾는 40대 …
D0035	D	49	남자	언어재활사	경상남	경상남-진주시	#직장인 #테크회의론	김원석 씨는 진주에서 단독주택에 거주하며 환자들에게 신뢰받는 언어재활사로 살아가는, 내실 있고 안정적인 성향의 중년 남성입니다…
D0036	D	58	여자	대형 화물차 운전원	경상북	경상북-경산시	#직장인	신정숙 씨는 투박한 화물 운송 업계에서 정교한 운전 실력과 꼼꼼한 자기관리로 입지를 다진, 외유내강형의 50대 여성 운전원입니…
D0037	D	54	남자	영업 관리 사무원	대전	대전-대덕구	#육아 #직장인	이재호 씨는 대전 대덕구에서 성실하게 근무하며 가족의 안식처인 내 집 마련을 꿈꾸는 유연하고 배려심 깊은 50대 가장입니다.
D0038	D	56	여자	음료 배달원	경상남	경상남-양산시	#저디지털 #직장인	김미경 씨는 양산에서 음료 배달을 하며 소박한 디저트 카페의 꿈을 키우는, 넉살 좋고 정 많은 50대 여성입니다.
D0039	D	51	여자	전직 연선기 조작원, 현재 구직중	인천	인천-서구	#비경제활동 #저디지털	정희연 씨는 인천 공단에서 잔뼈가 굵은 성실한 기술자 출신으로, 정교한 손재주와 체계적인 생활 습관을 바탕으로 제2의 직업 인…
D0040	D	55	남자	음료 서비스 종사원	경기	경기-광주시	#육아 #저디지털 #직장인	김종수 씨는 교육학을 전공하고 음료 서비스업에 종사하며, 가족과 함께하는 소박한 일상과 종합격투기 시청, 남한산성 산책을 즐기…
D0041	D	56	여자	회계 사무원	경기	경기-수원시 영통구	#직장인	박보윤 씨는 꼼꼼한 회계 업무 능력과 원만한 대인 관계를 갖춘, 실속과 안정을 중시하는 수원 영통의 중년 여성입니다.
D0042	D	55	여자	지게차 운전원	인천	인천-부평구	#직장인	김경희 씨는 부평 공단에서 지게차를 운전하며 성실하게 살아온 50대 여성으로, 가족에 대한 책임감과 소박한 일상의 즐거움 사이…
D0043	D	55	남자	위성방송 안테나 설치 및 수리원	부산	부산-사하구	#육아 #직장인	강희철 씨는 부산 사하구의 거친 현장에서 몸으로 삶을 일궈온, 의리와 가족 사랑이 지극한 50대 안테나 설치 전문가입니다.
D0044	D	53	남자	경·소형 화물차 운전원	서울	서울-도봉구	#직장인 #테크회의론	신경태 씨는 숙련된 화물차 운전 기술로 가정을 일군 성실한 가장이며, 신앙심과 가족애를 바탕으로 건강한 은퇴를 꿈꾸는 신중하고…
D0045	D	47	여자	관세행정 사무원	경상남	경상남-창원시 진해구	#직장인	주미선 씨는 진해에서 성실하게 관세 행정직으로 근무하며 안정적인 삶과 소소한 일상의 행복을 가꾸어 나가는 40대 여성입니다.
D0046	D	49	남자	항해사	경상남	경상남-거제시	#고디지털 #직장인	조윤식 씨는 숫자와 논리로 세상을 읽는 꼼꼼한 항해사이며, 거제 바다의 정밀함과 90년대 발라드의 서정성을 동시에 품고 살아가…
D0047	D	52	남자	상·하수 배관공	경기	경기-부천시 원미구	#육아 #직장인	고순배 씨는 부천의 노후 아파트 배관을 책임지는 숙련공이자, 투박한 손마디에 가족에 대한 사랑과 성실함을 담아 살아온 50대 …
D0048	D	58	여자	사무 보조원	대구	대구-북구	#저디지털 #직장인 #테크회의론	정혜숙 씨는 부족한 학력을 성실함과 생활력으로 극복하고 자동차 부품 업계의 살림꾼으로 자리 잡았으며, 가족에 대한 헌신과 개인…
D0049	D	58	여자	사무 보조원	경기	경기-의왕시	#가격깐깐 #직장인	남금숙 씨는 의왕시 부동산 사무소의 꼼꼼한 살림꾼이자, 베란다 텃밭과 소박한 캠핑에서 행복을 찾는 안정적인 삶을 지향하는 50…
D0050	D	58	여자	건물 청소원	전북	전북-순창군	#직장인	김소영 씨는 순창 지역 공동체 속에서 끈끈한 인맥과 성실한 청소 노동으로 안정적인 삶을 꾸려가며, 맛있는 음식과 뜨끈한 사우나…
D0051	D	58	남자	경리 사무원	부산	부산-북구	#직장인	김용대 씨는 부산 북구의 투박한 공단 정서와 전포동의 세련된 감성을 동시에 품은 채, 정년퇴직 후 반찬 가게 사장님을 꿈꾸는 …
D0052	D	56	남자	자동 조립라인 조작원	대전	대전-서구	#직장인	박경근 씨는 숙련된 현장 감각과 유연한 사고를 지닌 대전의 50대 가장으로, 성실한 직장 생활과 소소한 자연 속 휴식을 통해 …
D0053	D	59	남자	시설 경비원	제주	제주-서귀포시	#직장인 #테크회의론	이찬규 씨는 서귀포에서 성실하게 근무하는 학교 경비원이자, 건강한 노후를 꿈꾸며 운동과 지역 사회 활동에 적극적인 50대 후반…
D0054	D	43	남자	중형 화물차 운전원	인천	인천-연수구	#직장인	김승현 씨는 가족에 대한 깊은 책임감과 성실함으로 무장한 채, 연수구의 정겨운 풍경 속에서 화물차 운전과 소소한 기록의 삶을 …
D0055	D	56	여자	건물 내 전기 설치 및 정비원	경기	경기-성남시 중원구	#직장인	최연미 씨는 성남에서 활동하는 숙련된 전기 기술자로, 현장의 투박함과 예술적 감수성을 동시에 품은 채 자연과 사람 속에서 여유…
D0056	D	54	남자	관리 비서	서울	서울-마포구	#육아 #직장인	김종식 씨는 마포구에 거주하며 스포츠 VIP의 일정을 관리하는 세심한 비서이자, 예술과 종교에서 정서적 안식을 찾는 50대 가…
D0057	D	59	남자	정보 시스템 운영자	서울	서울-은평구	#고디지털 #직장인	고현 씨는 은평구의 자가 아파트에서 자녀를 키우며 교육기관의 시스템 운영자로 성실하게 살아가는, 책임감 강하고 보수적인 50대…
D0058	D	54	남자	그 외 시설 및 특수 경비원	대전	대전-대덕구	#직장인	윤준범 씨는 대전 대덕구에서 성실하게 경비직으로 근무하며 가족과의 소박한 일상과 안정을 최우선으로 여기는 50대 가장입니다.
D0059	D	56	여자	매장 정리원	울산	울산-남구	#직장인	이채원 씨는 울산 남구에서 매장 정리원으로 일하며 사교적인 성격과 건강에 대한 깊은 불안감을 동시에 지닌, 빵과 트로트를 사랑…
D0060	D	53	남자	택시 운전원	인천	인천-부평구	#육아 #직장인	이종필 씨는 부평의 골목길을 꿰뚫는 성실한 택시 운전사로, 가족의 미래를 위해 묵묵히 땀 흘리며 소박한 일상의 행복을 가꾸는 …
D0061	D	57	남자	통신장비 설치 및 수리원	충청북	충청북-옥천군	#저디지털 #직장인	유장훈 씨는 옥천에서 통신장비를 수리하며 살아가는 50대 후반의 기술자로, 외로운 독거 생활의 적막함을 수영과 야구, 그리고 …
D0062	D	58	여자	그 외 돌봄 및 보건 서비스 종사원	대구	대구-동구	#저디지털 #직장인	김순희 씨는 대구 동구의 정서를 간직한 채 어르신들을 세심하게 돌보는 전문 요양보호사이며, 소박한 일상의 즐거움과 이웃 간의 …
D0063	D	48	남자	이용사	울산	울산-북구	#직장인	윤민수 씨는 울산 북구에서 성실하게 가위를 잡으며 이웃의 신뢰를 받는 이용사이자, 소박한 일상의 맛과 휴식을 소중히 여기는 다…
D0064	D	55	여자	음식료품 판매원	경기	경기-이천시	#육아 #저디지털 #직장인 #테크회의론	문수정 씨는 이천에서 성실하게 일하며 라인댄스와 빵 투어로 삶의 활력을 찾는, 외유내강의 면모를 지닌 50대 여성입니다.
D0065	D	57	남자	전직 건물 경비원, 현재 구직중	경기	경기-의정부시	#고디지털 #보안민감 #비경제활동	고종태 씨는 의정부에서 성실하게 살아온 전직 경비원으로, 가족에 대한 책임감과 소박한 취미 생활 사이에서 삶의 안정을 찾는 중…
D0066	D	58	남자	전화 상담원	경상남	경상남-사천시	#직장인	양재훈 씨는 사천의 자동차 부품 상담원으로 일하며 가족과 함께 소박한 일상을 가꾸는, 무뚝뚝하지만 속 깊은 50대 가장입니다.
D0067	D	50	여자	음식 서비스 종사원	경기	경기-수원시 권선구	#직장인	박현주 씨는 수원에서 학교 급식 조리원으로 성실히 근무하며 자가를 마련한 꼼꼼한 성격의 50대 여성으로, 임영웅의 노래와 사우…
D0068	D	47	남자	사무 보조원	인천	인천-서구	#고디지털 #직장인	김영보 씨는 꼼꼼한 업무 처리 능력과 정적인 취향을 가졌으나, 건강 관리의 부재와 정서적 공허함을 인테리어와 문화생활로 채우며…
D0069	D	56	남자	공연·영화 및 음반 기획자	서울	서울-마포구	#직장인	조상철 씨는 예술적 낭만과 현실의 궁핍함 사이에서 타인에 대한 배려로 삶의 균형을 잡으려 애쓰는 마포구의 중년 기획자입니다.
D0070	D	57	여자	교육 및 훈련 사무원	인천	인천-부평구	#고디지털 #직장인	정맹옥 씨는 인천 부평에서 교육 행정직으로 근무하며 완벽한 업무 처리와 헌신적인 자녀 사랑을 실천하는, 외유내강의 50대 여성…
D0071	D	57	남자	대형 화물차 운전원	경상남	경상남-양산시	#고디지털 #직장인	우재욱 씨는 양산에서 화학 탱크로리를 운행하며 성실하게 가족을 부양해온, 무뚝뚝하지만 속 깊은 50대 가장입니다.
D0072	D	42	여자	시설 경비원	경기	경기-부천시 원미구	#직장인	최혜경 씨는 정규 교육의 빈자리를 부천 시장통의 삶의 지혜로 채우고, 경비원으로서의 성실함과 내 집 마련의 자부심으로 단단하게…
D0073	D	45	여자	일반 비서	광주	광주-남구	#약관정독 #직장인	신미혜 씨는 법학 기반의 전문성을 갖춘 농정 비서이자, 내면에는 예술적 낭만과 독립심을 품고 무등산과 인디 음악 속에서 휴식을…
D0074	D	51	남자	농업용 기계장비 기술 영업원	충청북	충청북-괴산군	#육아 #저디지털 #직장인 #테크회의론	최상헌 씨는 괴산 농민들의 절대적 신뢰를 받는 농기계 전문가이자, 건강 관리와 특유의 신중함 사이에서 갈등하는 따뜻한 50대 …
D0075	D	58	여자	그 외 일반 영업원	서울	서울-동작구	#직장인	이순자 씨는 능숙한 처세술과 단단한 자아를 가진 금융업 베테랑으로, 철저한 자기관리와 가족에 대한 책임감 속에 내면의 예민함을…
D0076	D	58	여자	전화 상담원	광주	광주-북구	#저디지털 #직장인	김금옥 씨는 광주 북구의 안정된 일상 속에서 금융 상담원으로서의 책임감과 임영웅의 노래, 그리고 소박한 이웃 관계를 통해 삶의…
D0077	D	57	여자	국가행정 사무원	대전	대전-유성구	#약관정독 #직장인 #테크회의론	이미숙 씨는 유성구에서 공직 생활을 하며 쌓은 절제미와 합리성을 바탕으로, 베란다 텃밭과 빵집 투어라는 소소한 기쁨을 누리는 …
