id	seg	age	sex	occupation	province	district	tags	summary
E0001	E	74	남자	하역 및 적재 관련 단순 종사원	광주	광주-서구	#저디지털 #접근성 #직장인	전기태 씨는 광주 서구에서 평생 하역 일을 하며 살아온 70대 가장으로, 투박한 손마디에 삶의 흔적이 배어 있는 성실하고 사교…
E0002	E	71	여자	회계 사무원	서울	서울-서초구	#저디지털 #접근성 #직장인	최은지 씨는 서초구에서 부동산 회계 사무원으로 일하며 경제적 자립과 사교적인 삶을 동시에 누리는 당찬 70대 여성입니다.
E0003	E	73	남자	무직	서울	서울-양천구	#가격깐깐 #비경제활동 #저디지털 #접근성	안상식 씨는 목동에서 평생을 성실함과 규칙으로 무장해 온, 꼼꼼한 가계부와 나훈아의 노래가 어울리는 정갈한 노신사입니다.
E0004	E	76	남자	무직	서울	서울-양천구	#비경제활동 #저디지털 #접근성	곽상길 씨는 양천구에서 평생을 보낸 서울 토박이로, 투박한 손재주와 시장통의 지혜를 가진 채 자녀들과 함께 노후를 보내는 고집…
E0005	E	74	여자	음료 서비스 종사원	경기	경기-의정부시	#저디지털 #접근성 #직장인	홍희자 씨는 의정부에서 자가 아파트를 보유한 채 음료 서비스직으로 일하며, 강한 생활력과 넉살로 일상을 꾸려가는 70대 여성입…
E0006	E	61	남자	그 외 일반 영업원	부산	부산-남구	#저디지털 #직장인	고성호 씨는 부산 남구의 지형지물을 꿰뚫고 있는 노련한 부동산 영업원이자, 라디오와 산책으로 삶의 여백을 채우며 안락한 노후를…
E0007	E	76	여자	무직	부산	부산-부산진구	#가격깐깐 #비경제활동 #저디지털 #접근성	박명순 씨는 부산진구의 오래된 다세대주택에서 노모와 자녀들을 챙기며 살아가는, 야무진 살림 솜씨와 투박한 정을 지닌 76세의 …
E0008	E	69	남자	건물 경비원	강원	강원-횡성군	#저디지털 #직장인	장수철 씨는 강원도 횡성에서 경비원으로 일하며 가족과 이웃을 아끼고, 소박한 일상의 행복과 건강한 노후를 지향하는 성실한 아버…
E0009	E	64	남자	무직	충청남	충청남-서산시	#비경제활동 #약관정독 #저디지털	이운섭 씨는 서산에 거주하며 대가족을 이끄는 중심축이자, 행정 전문가 출신의 꼼꼼함으로 일상을 관리하며 건강 회복을 위해 노력…
E0010	E	71	남자	무직	부산	부산-영도구	#비경제활동 #저디지털 #접근성	배승락 씨는 영도의 짠 내음과 투박한 손마디에 삶의 궤적이 담긴, 가족과 집을 지키는 현실적인 부산 사나이입니다.
E0011	E	62	여자	무직	서울	서울-동작구	#비경제활동	김송애 씨는 서울 동작구에서 자녀들과 살며 당뇨 관리와 원예, 역사 여행을 통해 삶의 안정을 찾아가는 인내심 깊은 60대 여성…
E0012	E	66	남자	강구조물 건립원	인천	인천-동구	#저디지털 #직장인	정영식 씨는 인천의 공장 지대에서 잔뼈가 굵은 베테랑 강구조물 건립원으로, 성실한 삶의 궤적과 소박한 예술적 취향을 가진 60…
E0013	E	90	여자	무직	광주	광주-광산구	#비경제활동 #저디지털 #접근성	오시자 씨는 광주 광산구의 옛 정서를 간직한 채, 민요 춤과 글쓰기로 노년의 고독을 달래며 소박한 일상을 가꾸는 90세 어르신…
E0014	E	81	여자	건물 청소원	경기	경기-광주시	#저디지털 #접근성 #직장인	정유자 씨는 경기 광주에서 성실하게 건물 청소를 하며 자립적인 삶을 꾸려가는 80대 어른으로, 꼼꼼한 일 처리와 사교적인 성격…
E0015	E	71	남자	전화 상담원	경기	경기-수원시 권선구	#저디지털 #접근성 #직장인	김종현 씨는 수원 권선구의 지역 정보에 능통한 71세 부동산 전화 상담원으로, 성실함과 공감 능력을 갖췄으나 건강 관리와 예민…
E0016	E	76	여자	무직	서울	서울-관악구	#비경제활동 #저디지털 #접근성	이금자 씨는 관악구에서 자녀들과 화목하게 거주하며, 봉사와 산책 그리고 임영웅의 노래로 소박하고 평온한 노후를 보내는 76세 …
E0017	E	88	여자	무직	전라남	전라남-곡성군	#비경제활동 #저디지털 #접근성	김옥순 씨는 전남 곡성의 흙냄새와 함께 살아온 88세의 어르신으로, 문맹의 서글픔을 강인한 생활력과 가족에 대한 사랑으로 승화…
E0018	E	60	남자	건물 경비원	서울	서울-노원구	#직장인	김종현 씨는 노원구에서 경비원으로 일하며 가족을 부양하는 책임감 강한 가장이자, 수락산 등산과 배드민턴으로 활력을 찾는 60대…
E0019	E	70	여자	무직	서울	서울-은평구	#가격깐깐 #비경제활동 #저디지털 #접근성	강영자 씨는 은평구에서 잔뼈가 굵은 살림의 고수이자, 꼼꼼한 추진력으로 모임을 이끄는 당찬 70대 할머니입니다.
E0020	E	94	여자	무직	전라남	전라남-화순군	#비경제활동 #저디지털 #접근성	최영남 씨는 화순의 땅과 함께 나이 든 94세 어르신으로, 가족의 화목과 소박한 먹거리에서 삶의 완성을 찾는 분입니다.
E0021	E	61	여자	무직	대구	대구-달서구	#가격깐깐 #비경제활동	배주경 씨는 대구 달서구에서 알뜰한 살림 솜씨와 정겨운 오지랖으로 가족과 이웃을 보듬는 60대 전업주부입니다.
E0022	E	84	남자	무직	부산	부산-금정구	#비경제활동 #저디지털 #접근성	김충조 씨는 부산 금정구에서 아내와 함께 살며 동네 갈등을 중재하는 여유롭고 정 많은 84세 어르신입니다.
E0023	E	61	여자	무직	대전	대전-동구	#비경제활동	송금자 씨는 대전 동구에서 이웃들과 화목하게 지내며 가족의 건강과 평온한 노후를 가꾸는 다정한 살림꾼입니다.
E0024	E	63	여자	무직	부산	부산-동래구	#가격깐깐 #비경제활동	성은경 씨는 부산 동래구에서 꼼꼼한 살림 솜씨와 철저한 자기관리로 가족의 평온한 일상을 지켜내는 헌신적인 어머니이자 아내입니다…
